game_id,home_team,away_team,commence_time,sportsbook,team,odds,snapshot_date,days_until_game,game_id_simple
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,betmgm,Buffalo Bills,-300,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,bovada,Arizona Cardinals,255,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,bovada,Buffalo Bills,-310,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,draftkings,Atlanta Falcons,-175,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,draftkings,Pittsburgh Steelers,145,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,fanduel,Atlanta Falcons,-198,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,fanduel,Pittsburgh Steelers,166,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,betrivers,Atlanta Falcons,-190,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,betrivers,Pittsburgh Steelers,155,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,williamhill_us,Atlanta Falcons,-195,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
